HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres,SHOT_ID
4,1,70,70,2,6.319497001,1.08099862,6.496296402,505
4,1,70,70,2,6.500106447,1.087305641,6.716816681,505
4,1,70,70,2,6.678047399,1.093519476,6.902164125,505
4,1,70,70,2,6.845704278,1.099374183,7.053916923,505
4,1,70,70,2,7.009494419,1.105093861,7.168926279,505
4,1,70,70,2,7.170295147,1.110709146,7.249498488,505
4,1,70,70,2,7.324207971,1.1160839,7.293741618,505
4,1,70,70,2,7.470348035,1.121187224,7.306075635,505
4,1,70,70,2,7.617032805,1.126309569,7.283393513,505
4,1,70,70,2,7.756120741,1.131166627,7.225712706,505
4,1,70,70,2,7.891281918,1.135886559,7.14025776,505
4,1,70,70,2,8.017125874,1.140281127,7.017921091,505
4,1,70,70,2,8.142512373,1.14465972,6.861122695,505
4,1,70,70,2,8.259271924,1.148737053,6.67514625,505
4,1,70,70,2,8.373741301,1.152734412,6.457828693,505
4,1,70,70,2,8.481853321,1.156509767,6.206427386,505
4,1,70,70,2,8.583199805,1.160048864,5.92682916,505
4,1,70,70,2,8.681344938,1.163476167,5.614963122,505
4,1,70,70,2,8.773280104,1.166686614,5.27208088,505
4,1,70,70,2,8.860843803,1.169744406,4.897260171,505
4,1,70,70,2,8.942208041,1.172585708,4.49436416,505
4,1,70,70,2,9.019368689,1.175280217,4.063512247,505
4,1,70,70,2,9.090942975,1.177779646,3.600534981,505
4,1,70,70,2,9.156957633,1.180084929,3.107361918,505
4,1,70,70,2,9.217938879,1.182214441,2.588950875,505
4,1,70,70,2,9.276543122,1.184260946,2.041877543,505
4,1,70,70,2,9.325670679,1.185976518,1.464949852,505
4,1,70,70,2,9.371290933,1.187569613,0.862154429,505
4,1,70,70,2,9.414053969,1.189062931,0.229982098,505
4,1,70,70,3,4.238036166,1.012474947,2.236905028,507
4,1,70,70,3,4.467255847,1.024487841,2.835401653,507
4,1,70,70,3,4.694630279,1.03640403,3.395106621,507
4,1,70,70,3,4.91745157,1.048081599,3.91453889,507
4,1,70,70,3,5.13108948,1.059277888,4.395779439,507
4,1,70,70,3,5.345493559,1.070514329,4.840012209,507
4,1,70,70,3,5.550684333,1.081267922,5.24607654,507
4,1,70,70,3,5.749126681,1.091667845,5.614964923,507
4,1,70,70,3,5.944660194,1.101915322,5.946404797,507
4,1,70,70,3,6.136314176,1.111959482,6.238820462,507
4,1,70,70,3,6.322383518,1.121710963,6.498217187,507
4,1,70,70,3,6.500639505,1.131052963,6.717921998,507
4,1,70,70,3,6.673726752,1.140124081,6.904442806,507
4,1,70,70,3,6.847917914,1.149253053,7.052347001,507
4,1,70,70,3,7.010852949,1.157792117,7.168995609,507
4,1,70,70,3,7.169328486,1.166097468,7.250115145,507
4,1,70,70,3,7.323550592,1.174179906,7.292256594,507
4,1,70,70,3,7.473483375,1.18203755,7.307730001,507
4,1,70,70,3,7.617617675,1.189591309,7.283290686,507
4,1,70,70,3,7.757278965,1.196910647,7.227940507,507
4,1,70,70,3,7.891440256,1.203941742,7.137162961,507
4,1,70,70,3,8.019129843,1.21063367,7.017040371,507
4,1,70,70,3,8.141698739,1.217057233,6.863110136,507
4,1,70,70,3,8.258855923,1.223197181,6.676172504,507
4,1,70,70,3,8.372784711,1.229167936,6.456927631,507
4,1,70,70,3,8.480499937,1.234813052,6.207382496,507
4,1,70,70,3,8.582818028,1.240175316,5.925051972,507
4,1,70,70,3,8.68171951,1.245358523,5.611764073,507
4,1,70,70,3,8.773502032,1.250168641,5.270950856,507
4,1,70,70,3,8.860787545,1.254743081,4.897290331,507
4,1,70,70,3,8.943646861,1.259085554,4.496293501,507
4,1,70,70,3,9.018203425,1.262992897,4.061466197,507
4,1,70,70,3,9.09020249,1.266766209,3.600420617,507
4,1,70,70,3,9.155988079,1.270213885,3.109955585,507
4,1,70,70,3,9.219118006,1.273522385,2.591186515,507
4,1,70,70,3,9.277299083,1.276571526,2.042604506,507
4,1,70,70,3,9.32601495,1.279124616,1.465490113,507
4,1,70,70,3,9.372341718,1.281552499,0.861559808,507
4,1,70,70,3,9.413101856,1.283688647,0.230442789,507
4,1,70,70,4,4.237259803,1.016590822,2.237701694,509
4,1,70,70,4,4.46940741,1.032824164,2.835405633,509
4,1,70,70,4,4.694176602,1.048541557,3.395269969,509
4,1,70,70,4,4.915844251,1.064042069,3.915537558,509
4,1,70,70,4,5.133464542,1.079259562,4.398353535,509
4,1,70,70,4,5.344128508,1.093990621,4.840937792,509
4,1,70,70,4,5.547450414,1.108208274,5.245132771,509
4,1,70,70,4,5.749589658,1.122343227,5.61529985,509
4,1,70,70,4,5.944108235,1.135945291,5.946503971,509
4,1,70,70,4,6.137485236,1.149467528,6.238226685,509
4,1,70,70,4,6.3209712,1.162298117,6.498338955,509
4,1,70,70,4,6.502224941,1.174972613,6.718480177,509
4,1,70,70,4,6.676402671,1.187152306,6.903662239,509
4,1,70,70,4,6.847935078,1.199147021,7.054052796,509
4,1,70,70,4,7.009981994,1.210478445,7.168784168,509
4,1,70,70,4,7.171608778,1.221780491,7.248737864,509
4,1,70,70,4,7.325592964,1.232548114,7.295049405,509
4,1,70,70,4,7.474110334,1.24293346,7.30572163,509
4,1,70,70,4,7.617045572,1.252928466,7.282826889,509
4,1,70,70,4,7.757733298,1.26276631,7.229214985,509
4,1,70,70,4,7.890549009,1.272053689,7.139388123,509
4,1,70,70,4,8.020141555,1.281115682,7.017199843,509
4,1,70,70,4,8.142052635,1.289640536,6.861809038,509
4,1,70,70,4,8.26103507,1.297960598,6.676138176,509
4,1,70,70,4,8.372354868,1.305744837,6.457740504,509
4,1,70,70,4,8.480752413,1.313324731,6.206129188,509
4,1,70,70,4,8.58388516,1.320536476,5.92660038,509
4,1,70,70,4,8.681827773,1.32738529,5.612982827,509
4,1,70,70,4,8.77291047,1.333754413,5.269832465,509
4,1,70,70,4,8.858742962,1.339756405,4.897942733,509
4,1,70,70,4,8.944097327,1.345724964,4.492272353,509
4,1,70,70,4,9.017740616,1.350874604,4.062869292,509
4,1,70,70,4,9.091551413,1.356035958,3.599040229,509
4,1,70,70,4,9.158305234,1.36070384,3.109123347,509
4,1,70,70,4,9.219345681,1.364972204,2.589033646,509
4,1,70,70,4,9.275405662,1.3688923,2.041251901,509
4,1,70,70,4,9.327237709,1.372516749,1.467539357,509
4,1,70,70,4,9.372630254,1.375690905,0.862485714,509
4,1,70,70,4,9.412884907,1.378505785,0.231075498,509
4,1,70,70,5,4.236530592,1.020693745,2.236602821,511
4,1,70,70,5,4.468799213,1.041014617,2.836570311,511
4,1,70,70,5,4.693458524,1.060669759,3.395975454,511
4,1,70,70,5,4.915098056,1.080060706,3.916636622,511
4,1,70,70,5,5.133406835,1.099160249,4.396435339,511
4,1,70,70,5,5.343360956,1.117528855,4.842972663,511
4,1,70,70,5,5.548845775,1.135506447,5.24732678,511
4,1,70,70,5,5.750456387,1.15314509,5.613104724,511
4,1,70,70,5,5.945853036,1.170240082,5.945885057,511
4,1,70,70,5,6.134873427,1.186777223,6.238373186,511
4,1,70,70,5,6.320577565,1.20302423,6.497803007,511
4,1,70,70,5,6.500820693,1.21879346,6.716747434,511
4,1,70,70,5,6.675278288,1.234056522,6.904105507,511
4,1,70,70,5,6.846328152,1.249021446,7.054020181,511
4,1,70,70,5,7.012111534,1.263525612,7.168265039,511
4,1,70,70,5,7.170270642,1.277362741,7.247314197,511
4,1,70,70,5,7.325402498,1.29093502,7.293721916,511
4,1,70,70,5,7.474237777,1.30395642,7.304934789,511
4,1,70,70,5,7.619825131,1.316693663,7.28612531,511
4,1,70,70,5,7.756469062,1.328648458,7.22718545,511
4,1,70,70,5,7.889629002,1.340298443,7.139195692,511
4,1,70,70,5,8.017101085,1.351450805,7.014777411,511
4,1,70,70,5,8.140423464,1.362240115,6.860501722,511
4,1,70,70,5,8.259885459,1.372691686,6.673935736,511
4,1,70,70,5,8.372862584,1.382575903,6.45633467,511
4,1,70,70,5,8.482432566,1.392162035,6.206630697,511
4,1,70,70,5,8.585194777,1.401152563,5.926191847,511
4,1,70,70,5,8.68021204,1.409465496,5.61468998,511
4,1,70,70,5,8.773127094,1.41759451,5.269791768,511
4,1,70,70,5,8.860743833,1.425259982,4.898025601,511
4,1,70,70,5,8.941821508,1.432353359,4.495947251,511
4,1,70,70,5,9.019371345,1.439138091,4.061956631,511
4,1,70,70,5,9.091785832,1.445473537,3.599500868,511
4,1,70,70,5,9.15627648,1.451115738,3.108591893,511
4,1,70,70,5,9.220033274,1.456693735,2.588300536,511
4,1,70,70,5,9.276866541,1.461666001,2.042139138,511
4,1,70,70,5,9.325682769,1.465936868,1.464318389,511
4,1,70,70,5,9.374382413,1.470197535,0.859905601,511
4,1,70,70,5,9.41389737,1.473654645,0.230096649,511
4,1,70,70,6,4.237712674,1.024984609,2.238254765,513
4,1,70,70,6,4.471293421,1.049534935,2.837144094,513
4,1,70,70,6,4.695256998,1.073074455,3.396500777,513
4,1,70,70,6,4.915792574,1.096253678,3.91535154,513
4,1,70,70,6,5.131433151,1.118918416,4.396826525,513
4,1,70,70,6,5.342515657,1.141104081,4.841250828,513
4,1,70,70,6,5.549037084,1.162810358,5.246587139,513
4,1,70,70,6,5.748374471,1.183761562,5.614400773,513
4,1,70,70,6,5.947849052,1.204727185,5.946286419,513
4,1,70,70,6,6.136456865,1.224550665,6.238868258,513
4,1,70,70,6,6.320088325,1.243851109,6.496611182,513
4,1,70,70,6,6.502538715,1.263027418,6.718725064,513
4,1,70,70,6,6.677813646,1.281449555,6.902110094,513
4,1,70,70,6,6.846332711,1.299161623,7.052224394,513
4,1,70,70,6,7.010440345,1.31641003,7.168722322,513
4,1,70,70,6,7.16958527,1.333136836,7.248367339,513
4,1,70,70,6,7.323654141,1.349330127,7.292830367,513
4,1,70,70,6,7.473066402,1.365033988,7.305283258,513
4,1,70,70,6,7.619048215,1.380377295,7.283936736,513
4,1,70,70,6,7.756692415,1.394844283,7.226980927,513
4,1,70,70,6,7.891619695,1.409025712,7.136630686,513
4,1,70,70,6,8.019488134,1.422465226,7.016380483,513
4,1,70,70,6,8.141582363,1.435297847,6.861779564,513
4,1,70,70,6,8.261074657,1.447856993,6.674412308,513
4,1,70,70,6,8.370908876,1.459401035,6.456621861,513
4,1,70,70,6,8.480496765,1.470919186,6.207472766,513
4,1,70,70,6,8.584075832,1.481805785,5.926927699,513
4,1,70,70,6,8.681538756,1.492049551,5.612678331,513
4,1,70,70,6,8.772833526,1.501645018,5.269394216,513
4,1,70,70,6,8.861927582,1.51100918,4.897036561,513
4,1,70,70,6,8.940990268,1.519319004,4.492393013,513
4,1,70,70,6,9.018897562,1.52750739,4.063983373,513
4,1,70,70,6,9.091964616,1.535187047,3.599901675,513
4,1,70,70,6,9.157052861,1.542028097,3.10832673,513
4,1,70,70,6,9.21914768,1.548554526,2.590320287,513
4,1,70,70,6,9.276055617,1.554535791,2.041175186,513
4,1,70,70,6,9.325690196,1.559752595,1.465713162,513
4,1,70,70,6,9.372365199,1.564658336,0.861272153,513
4,1,70,70,6,9.414016489,1.569036063,0.229666564,513
4,1,70,70,7,4.238001452,1.029222904,2.235471041,515
4,1,70,70,7,4.469115727,1.057600169,2.835564922,515
4,1,70,70,7,4.697118262,1.08559536,3.393830979,515
4,1,70,70,7,4.917562529,1.112662512,3.914184463,515
4,1,70,70,7,5.132580047,1.139063344,4.397310656,515
4,1,70,70,7,5.344260839,1.165054477,4.840800708,515
4,1,70,70,7,5.550368249,1.190361285,5.246319931,515
4,1,70,70,7,5.748926374,1.214741157,5.613502572,515
4,1,70,70,7,5.944055309,1.238699978,5.946104279,515
4,1,70,70,7,6.137630074,1.26246797,6.23866621,515
4,1,70,70,7,6.320366175,1.284905142,6.49754264,515
4,1,70,70,7,6.50117149,1.307105243,6.717929784,515
4,1,70,70,7,6.676127156,1.328587098,6.902458508,515
4,1,70,70,7,6.847711261,1.349654977,7.054558776,515
4,1,70,70,7,7.011708378,1.369791291,7.167576607,515
4,1,70,70,7,7.168174371,1.389002899,7.248579016,515
4,1,70,70,7,7.32480187,1.408234338,7.294942494,515
4,1,70,70,7,7.47275388,1.42640056,7.304868643,515
4,1,70,70,7,7.617603355,1.44418584,7.282850512,515
4,1,70,70,7,7.755774691,1.461151146,7.22654805,515
4,1,70,70,7,7.89065599,1.477712487,7.139419913,515
4,1,70,70,7,8.018130855,1.493364433,7.017853571,515
4,1,70,70,7,8.141469356,1.508508496,6.861359833,515
4,1,70,70,7,8.261824932,1.523286303,6.676524443,515
4,1,70,70,7,8.371394272,1.536739726,6.456522369,515
4,1,70,70,7,8.479642692,1.550030961,6.208027948,515
4,1,70,70,7,8.582432872,1.562652008,5.925058056,515
4,1,70,70,7,8.681011282,1.574755915,5.611117164,515
4,1,70,70,7,8.773569336,1.586120615,5.26982109,515
4,1,70,70,7,8.860295592,1.59676926,4.89702314,515
4,1,70,70,7,8.943929259,1.607038183,4.495208621,515
4,1,70,70,7,9.018230064,1.616161175,4.062410847,515
4,1,70,70,7,9.091162225,1.625116118,3.601962884,515
4,1,70,70,7,9.157809797,1.633299411,3.108872084,515
4,1,70,70,7,9.220676914,1.641018523,2.589778274,515
