SHOT_ID,PC1,PC2,PC3,SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres,OUT_OF_COURT_SHOTS
138,-0.6875406492724117,-0.16723933661059046,1.2679804655720601,8.036079489,2.140943001,5.121908268,1
193,-1.1475402285080256,-0.41208904072910096,0.4349250898034613,8.719903612,3.412938059,2.501982902,1
152,0.3014699404237742,-0.6833673027536961,0.32442584392747437,8.758142014,3.364375267,2.191727118,1
87,-1.6498934594924715,1.4931055098866057,-0.8105585070722787,7.268948013,4.171318306,3.593733841,1
241,-2.102045102591733,-0.39887476177605863,0.07364702485715534,8.448344806,4.077646147,4.054957316,1
69,-0.7660321989584921,1.5167575142294996,-0.3818836834370737,6.912528289,3.306119059,3.464151141,1
47,0.5416907428738525,1.3192118187967767,-0.3575894119352626,4.74203932,2.198828836,2.180938384,1
104,0.4788950654604779,-0.29105246545144114,1.427068254451669,7.647257358,1.577668815,5.415707035,1
216,0.47726288313570825,-1.2600135565356316,-1.115200360041215,8.333506285,5.304166164,4.468766242,0
89,-1.5086062323930163,1.4193729432947335,-0.9453520244500767,8.725898768,4.413462567,3.250833216,1
123,1.8211237229053014,-0.9915118480742273,0.14652983936258857,8.556642712,3.422809907,3.543577291,1
192,-1.218183842057753,-0.37522275743316486,0.5023218484923602,5.269211566,3.088751918,3.462961092,1
144,-0.26367896797404633,-0.38843703638620714,0.8635999134386662,7.216817157,2.452094168,5.34504795,1
41,0.11782906157548721,1.5404095185723934,0.04679114019813123,8.968806679,2.786981665,2.756875018,1
169,-1.3594710691572083,-0.3014901908412926,0.6371153658701583,7.649103347,3.127429497,5.415220336,1
22,1.6374828440570146,1.232264973251862,-0.13110486436675461,9.315684104,3.040499949,1.115826262,1
138,-0.6875406492724117,-0.16723933661059046,1.2679804655720601,8.619897932,2.161330391,3.189611252,1
17,1.2842647763083768,1.4165963897315426,0.20587892907774025,9.374277583,2.541049299,0.56558639,1
137,-0.7581842628221392,-0.13037305331465432,1.335377224260959,6.702962816,2.047180391,5.0002574,1
141,-0.47560980862322894,-0.2778381864983988,1.065790189505363,4.631666918,2.055263694,2.60113524,1
61,1.5307013325700385,0.803083852653671,-1.3011440335798483,5.223691662,2.678303364,2.520095475,1
240,-2.1726887161414603,-0.3620084784801226,0.1410437835460542,6.484565435,4.0,4.805253263,1
65,-1.0486066531574023,1.664222647413244,-0.11229664868147779,6.530325096,3.088360899,3.28655403,1
96,-0.08625384293734267,0.0038778009160477856,1.9662423239628608,4.907003401,1.015831803,2.992868623,1
173,-1.0768966149582981,-0.4489553240250371,0.36752833111456235,8.831612682,3.507822956,1.510693229,1
106,0.620182292559933,-0.36478503204331336,1.2922747370738712,7.763655324,1.731580485,5.374749309,1
125,1.9624109500047566,-1.0652444146660995,0.011736321984790549,7.557321536,3.053820546,5.427774931,1
79,-0.059596063461216466,1.1480946812701383,-1.0558512703260634,5.489829384,3.427201701,2.695531425,1
55,1.1068396512716732,1.0242815524292876,-0.8967634814464545,8.636076999,3.967897932,3.370298048,1
43,0.25911628867494235,1.4666769519805212,-0.08800237717966672,8.145877327,2.805876917,3.678506378,1
11,0.8604030950100114,1.6377940895071594,0.6102594812111342,9.088319567,1.897208026,2.380572216,1
13,1.0016903221094666,1.5640615229152872,0.4754659638333361,9.019910822,2.067014984,2.617120669,1
7,0.5778286408111012,1.7852592226909039,0.87984651596673,7.556036497,1.373754497,3.670526465,1
59,1.3894141054705833,0.8768164192455433,-1.1663505162020502,9.088850044,4.592898606,2.380460969,1
10,0.7897594814602839,1.6746603728030955,0.6776562399000331,7.988074169,1.631648895,3.702753166,1
27,1.9907009118056525,1.0479335567721815,-0.46808865781124953,5.159725253,1.5656358,2.474457626,1
69,-0.7660321989584921,1.5167575142294996,-0.3818836834370737,8.260245229,3.447769817,3.643119197,1
109,0.8321131332091157,-0.47538388193112174,1.0900844610071743,8.010031192,1.999813068,5.158201512,1
